,List Sr. No.,Set No.,2020 Set,First Name,Surname,Country,State Association,DOB,Age,Specialism,Unnamed: 10,Unnamed: 11,Test caps,"ODI
caps","T20
caps",IPL,Previous IPLTeam(s),"2019
Team","2019
IPL",C/U/A,"Reserve
Price Rs Lakh",Surname.1
306,307,42,UAL6,Ripal,Patel,India,GUCA,1995-09-28,24,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,20,Patel
307,308,42,UAL6,Abhimanyu,Rana,India,HPCA,1991-09-21,28,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,,,,,Uncapped,20,Rana
308,309,42,UAL6,Kshitiz,Sharma,India,DDCA,1990-04-21,29,ALL-ROUNDER,RHB,RIGHT ARM Off Break,,,,0.0,CSK,,,Uncapped,20,Sharma
309,310,42,UAL6,Nitin,Sharma,India,HPCA,1996-09-28,23,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,20,Sharma
310,311,42,UAL6,Akshay,Solanki,India,DDCA,1996-02-28,24,ALL-ROUNDER,RHB,RIGHT ARM Off Break,,,,,,,,Uncapped,20,Solanki
311,312,42,UAL6,Pranshu,Vijayran,India,DDCA,1995-11-18,24,ALL-ROUNDER,LHB,RIGHT ARM Fast,,,,,,,,Uncapped,20,Vijayran
312,313,43,UAL7,Nikhil,Chaudhary,India,PCA,1996-05-04,23,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,20,Chaudhary
313,314,43,UAL7,Rajat,Choudhary,India,RCA,1999-10-10,20,ALL-ROUNDER,RHB,RIGHT ARM Off Break,,,,,,,,Uncapped,20,Choudhary
314,315,43,UAL7,Khizar,Dafedar,India,MCA,1997-10-10,22,ALL-ROUNDER,RHB,RIGHT ARM Leg Break,,,,,,,,Uncapped,20,Dafedar
315,316,43,UAL7,Digvijay,Deshmukh,India,MACA,1998-04-12,21,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,20,Deshmukh
316,317,43,UAL7,Dharmendrasinh,Jadeja,India,SCA,1990-08-04,29,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,,,,,Uncapped,20,Jadeja
317,318,43,UAL7,Aman,Khan,India,MCA,1996-11-23,23,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,20,Khan
318,319,43,UAL7,Prerak,Mankad,India,SCA,1994-04-23,25,ALL-ROUNDER,RHB,RIGHT ARM Medium Fast,,,,,,,,Uncapped,20,Mankad
319,320,43,UAL7,Dhrumil,Matkar,India,MCA,1996-06-03,23,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,,,,,Uncapped,20,Matkar
320,321,43,UAL7,Ramandeep,Singh,India,PCA,1997-04-13,22,ALL-ROUNDER,RHB,RIGHT ARM Medium,,,,,,,,Uncapped,20,Singh
321,322,43,UAL7,Prince Balwant Rai,Singh,India,PCA,1999-05-05,20,ALL-ROUNDER,RHB,RIGHT ARM Leg Break,,,,,,,,Uncapped,20,Singh
322,323,44,UAL8,M,Abhinav,India,TNCA,1995-02-26,25,ALL-ROUNDER,LHB,RIGHT ARM Leg Break,,,,,,,,Uncapped,20,Abhinav
323,324,44,UAL8,Arjun,Azad,India,UTCA,2001-08-08,18,ALL-ROUNDER,RHB,RIGHT ARM Leg Break,,,,,,,,Uncapped,20,Azad
324,325,44,UAL8,Nachiket,Bhute,India,VCA,1999-11-01,20,ALL-ROUNDER,RHB,RIGHT ARM Medium Fast,,,,,,,,Uncapped,20,Bhute
325,326,44,UAL8,Corbin,Bosch,South Africa,CSA,1994-09-10,25,ALL-ROUNDER,RHB,RIGHT ARM Fast,,,,,,,,Uncapped,20,Bosch
326,327,44,UAL8,James,Fuller,England,ECB,1990-01-24,30,ALL-ROUNDER,RHB,RIGH ARM Fast,,,,,,,,Uncapped,40,Fuller
327,328,44,UAL8,Shaik,Ismail,India,ACA,2002-04-25,17,ALL-ROUNDER,RHB,RIGHT ARM Leg Break,,,,,,,,Uncapped,20,Ismail
328,329,44,UAL8,Will,Jacks,England,ECB,1998-11-21,21,ALL-ROUNDER,RHB,RIGHT ARM Off Break,,,,,,,,Uncapped,30,Jacks
329,330,44,UAL8,Jack,Prestwidge,Australia,CA,1996-02-28,24,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,20,Prestwidge
330,331,44,UAL8,Yash,Rathod,India,VCA,2000-05-16,19,ALL-ROUNDER,LHB,RIGHT ARM Leg Break,,,,,,,,Uncapped,20,Rathod
331,332,44,UAL8,Pratyush,Singh,India,TCA,1994-09-04,25,ALL-ROUNDER,RHB,RIGHT ARM Leg Break,,,,0.0,DD,,,Uncapped,20,Singh
